gene_id,hpo_id
SCN5A,HP:0001260
SCN5A,HP:0001279
SCN5A,HP:0001297
SCN5A,HP:0001371
SCN5A,HP:0001426
SCN5A,HP:0001627
SCN5A,HP:0001635
SCN5A,HP:0001638
SCN5A,HP:0001644
SCN5A,HP:0001645
SCN5A,HP:0001649
SCN5A,HP:0001657
SCN5A,HP:0001658
SCN5A,HP:0001662
SCN5A,HP:0001663
SCN5A,HP:0001664
SCN5A,HP:0001678
SCN5A,HP:0001688
SCN5A,HP:0001695
SCN5A,HP:0001699
SCN5A,HP:0001712
SCN5A,HP:0001727
SCN5A,HP:0001789
SCN5A,HP:0001790
SCN5A,HP:0001907
